Date,Predicted_Main,Actual_Main,Main_Matches,Predicted_Special,Actual_Special,Special_Match
2024-11-20,"15,20,28,49,63","16,30,60,62,64",0,19,25,0
2024-11-23,"24,28,34,40,47","36,40,41,50,60",1,7,13,0
2024-11-23,"15,20,28,42,57","12,13,34,44,67",0,22,8,0
2024-11-25,"3,30,50,53,69","5,35,45,60,63",0,4,12,0
2024-11-27,"7,20,33,49,53","1,6,7,13,40",1,16,5,0
2024-11-27,"19,38,51,53,68","19,37,41,42,62",1,18,13,0
2024-11-30,"3,7,9,18,41","9,21,37,43,61",1,18,23,0
2024-12-02,"4,12,22,44,68","14,27,34,39,40",0,1,4,0
2024-12-02,"3,31,51,54,61","3,9,26,61,67",2,13,13,1
2024-12-04,"6,29,39,52,57","14,35,43,48,54",0,7,1,0
2024-12-04,"12,38,42,56,68","1,23,25,28,61",0,12,13,0
2024-12-07,"9,12,19,23,50","1,31,43,55,57",0,13,22,0
2024-12-09,"4,39,46,47,62","7,17,28,44,54",0,22,8,0
2024-12-11,"4,25,28,46,59","18,23,34,60,62",0,4,19,0
2024-12-11,"5,9,55,59,62","13,44,50,52,54",0,16,20,0
2024-12-16,"8,24,30,40,42","9,30,33,57,61",1,20,17,0
2024-12-18,"4,16,32,52,67","41,45,52,56,67",2,17,6,0
2024-12-21,"24,33,51,54,58","29,45,46,51,59",1,12,3,0
2024-12-23,"4,8,15,20,56","16,49,62,63,68",0,5,10,0
2024-12-23,"10,45,48,58,67","22,42,44,57,64",0,19,18,0
2024-12-25,"3,39,43,61,68","8,29,30,47,57",0,16,1,0
2024-12-25,"16,25,26,29,58","15,26,27,30,35",1,2,3,0
2024-12-28,"8,27,28,38,53","22,40,42,54,68",0,5,7,0
2024-12-30,"6,34,37,45,54","9,19,33,38,39",0,23,1,0
2024-12-30,"2,44,52,54,63","15,34,52,56,57",1,12,14,0
2025-01-01,"15,29,58,61,68","6,12,28,35,66",0,25,26,0
2025-01-04,"5,26,38,39,56","26,32,43,54,56",2,10,24,0
2025-01-06,"14,32,51,64,68","17,34,46,66,67",0,23,14,0
2025-01-06,"28,42,51,61,68","41,44,54,57,64",0,23,13,0
2025-01-08,"12,14,35,40,53","22,29,36,61,65",0,26,17,0
2025-01-11,"7,10,24,27,29","3,6,32,37,65",0,12,4,0
2025-01-13,"34,36,43,59,64","29,30,32,37,56",0,10,18,0
