Main Numbers (1-69) Frequency
Number,Frequency
39,149
59,147
36,140
30,139
41,137
32,137
47,137
57,133
53,131
54,131
45,129
23,128
50,128
55,128
58,126
52,126
40,126
31,125
16,124
33,124
20,124
56,124
14,123
28,122
1,122
27,121
38,121
21,120
4,120
37,119
26,118
17,118
25,118
44,118
51,117
19,117
18,117
6,116
42,116
12,115
48,113
49,113
15,113
63,112
5,112
61,112
7,111
35,111
34,110
9,110
2,109
10,109
22,109
11,108
29,108
62,108
46,108
43,107
3,107
67,102
69,101
24,100
8,97
68,95
64,94
60,93
66,91
13,86
65,75

Powerball (1-26) Frequency
PB_Number,Frequency
14,72
20,71
5,70
13,68
17,68
24,67
21,67
26,66
19,66
18,65
9,65
16,65
25,63
2,62
7,62
8,61
6,61
4,59
1,58
22,57
23,56
12,55
15,54
11,54
3,50
10,49
