Date,N1,N2,N3,N4,N5,PB
01/07/09,23,31,33,38,52,24
01/17/09,2,5,9,23,59,26
01/21/09,20,26,38,46,54,23
01/24/09,6,20,25,37,42,25
01/28/09,5,10,18,23,32,4
02/04/09,7,24,30,32,44,18
02/25/09,17,32,42,49,56,11
02/28/09,3,16,20,42,58,7
03/07/09,21,27,28,56,59,21
03/14/09,7,30,33,44,51,10
03/18/09,16,26,29,41,45,1
03/25/09,10,20,23,47,54,26
04/01/09,2,9,33,41,54,14
04/04/09,14,21,50,57,58,7
04/08/09,1,6,48,52,56,9
04/11/09,7,28,35,46,49,20
04/15/09,16,22,26,27,59,5
04/18/09,7,15,28,43,44,20
04/25/09,8,26,30,42,52,15
04/29/09,6,19,36,50,59,13
05/06/09,7,8,12,22,31,18
05/09/09,4,15,32,49,58,21
05/20/09,23,30,31,35,42,6
05/30/09,1,23,42,51,59,20
06/03/09,16,20,22,32,37,9
06/06/09,10,18,23,30,45,2
06/27/09,18,22,26,39,48,17
07/01/09,9,32,38,52,53,15
07/11/09,1,4,20,39,42,2
07/25/09,5,17,33,46,52,9
07/29/09,2,5,38,43,59,8
08/08/09,4,33,37,45,50,11
08/12/09,10,25,32,34,47,5
08/22/09,3,6,20,32,51,23
08/26/09,1,21,23,30,43,11
09/09/09,4,16,18,51,53,23
09/12/09,13,28,38,41,56,25
09/16/09,17,37,40,51,56,25
09/19/09,5,24,25,30,49,23
09/23/09,7,8,20,25,29,11
09/26/09,18,20,34,36,39,19
10/03/09,12,24,48,50,57,22
10/07/09,2,20,21,38,50,22
10/14/09,5,15,25,30,40,6
10/21/09,6,16,34,45,51,4
10/24/09,14,22,38,49,59,16
10/28/09,3,11,26,46,51,23
10/31/09,2,19,26,41,54,23
11/11/09,8,12,14,22,29,22
11/21/09,7,26,36,49,58,4
11/25/09,4,13,18,49,59,5
12/05/09,27,39,41,44,58,17
12/16/09,13,23,25,35,43,15
12/19/09,17,24,39,41,47,21
12/30/09,5,14,38,39,52,6
01/09/10,20,41,44,50,54,22
01/16/10,7,8,23,41,55,23
01/20/10,15,32,43,44,46,19
01/23/10,15,16,20,42,53,17
01/27/10,6,15,20,26,31,9
01/30/10,6,26,35,47,48,21
02/03/10,17,22,36,37,52,24
02/06/10,14,22,52,54,59,4
02/17/10,7,8,19,26,36,15
02/24/10,4,17,35,50,57,12
03/03/10,7,9,14,45,49,23
03/10/10,17,21,37,41,50,1
03/13/10,6,16,20,31,36,8
03/17/10,24,26,45,48,55,8
03/20/10,9,36,39,44,45,9
03/31/10,5,13,17,45,54,12
04/17/10,5,21,22,41,49,15
04/21/10,11,34,41,49,55,20
04/24/10,1,12,53,56,57,5
05/01/10,16,23,25,49,58,20
05/05/10,13,34,40,47,57,11
06/05/10,18,34,40,48,59,25
06/09/10,14,22,27,32,49,5
06/26/10,13,30,32,38,57,25
07/10/10,20,21,27,28,56,4
07/14/10,20,21,23,38,42,6
07/17/10,22,27,35,37,45,3
07/21/10,16,22,30,51,58,25
